ETF_CODE,ETF_NAME,SOURCE
2090,NZAM Bloomberg US Treasury 7-10 year Index,SPG
2091,NZAM Bloomberg German Treasury 7-10 year Index,SPG
2092,NZAM Bloomberg France Treasury 7-10 year Index,SPG
2093,Listed Tracers US Government Bond 0-2years Ladder (No Currency Hedge),SPG
2094,TSE REIT Inverse ETF,ICE
2095,Global X S&P 500 Dividend Aristocrats ETF (JPY Hedged),SOLACTIVE
2096,Global X Office J-REIT ETF,SOLACTIVE
2097,Global X Residential J-REIT ETF,SOLACTIVE
2098,Global X Hotel & Retail J-REIT ETF,SOLACTIVE
210A,iFreeETF Nikkei High Yield REIT Index,SPG
213A,Listed Index Fund Nikkei Semiconductor Stock,SPG
221A,MAXIS Nikkei Semiconductor Stock (Japan) ETF,ICE
2235,Listed Index Fund US Equity (Dow Average) No Currency Hedge,SPG
2236,Global X S&P 500 Dividend Aristocrats ETF,SOLACTIVE
2237,iFreeETF S&P500 Leveraged (2x),SPG
2238,iFreeETF S&P500 Inverse,SPG
2239,Listed Index Fund S&P500 Futures Leveraged Two Times,SPG
223A,Global X Artificial Intelligence & Technology ETF,SOLACTIVE
2240,Listed Index Fund S&P500 Futures Inverse,SPG
2241,MAXIS NY Dow Industrial Average ETF,ICE
2242,MAXIS NY Dow Industrial Average ETF (JPY Hedged),ICE
2243,Global X Semiconductor ETF,SOLACTIVE
2244,Global X US Tech Top 20 ETF,SOLACTIVE
2245,NEXT FUNDS Bloomberg Germany Treasury Bond (7-10 year) Index (Yen-Hedged) Exchange Traded Fund,ICE
2247,iFreeETF S&P500 (NON HEDGED),SPG
2248,iFreeETF S&P500 (JPY HEDGED),SPG
2249,iFreeETF S&P500 Double Inverse (-2x),SPG
224A,Global X Uranium ETF,SOLACTIVE
2250,iShares MSCI Japan Climate Action ETF,ICE
2251,NEXT FUNDS JPX JGB Futures Double Inverse Index Exchange Traded Fund,ICE
2252,Global X Morningstar US Small Mid Moat ETF,SOLACTIVE
2253,Global X SuperDividend U.S. ETF,SOLACTIVE
2254,Global X China Electric Vehicle and Battery ETF,SOLACTIVE
2255,iShares 20+ Year US Treasury Bond ETF,ICE
2256,iShares US Aggregate Bond ETF,ICE
2257,iShares USD Investment Grade Corporate Bond ETF,ICE
2258,iShares USD High Yield Corporate Bond ETF,ICE
2259,iShares 7-10 Year France Government Bond JPY Hedged ETF,ICE
233A,iFreeETF Nifty50,SPG
234A,Global X MSCI Japan Cash Flow Kings ETF,SOLACTIVE
235A,Global X Japan High Dividend 30 ETF,SOLACTIVE
236A,iShares 7-10 Year Japan Government Bond ETF,ICE
237A,iShares 25+ Year US Treasury Bond Long Duration ETF,ICE
238A,iShares 25+ Year US Treasury Bond Long Duration JPY Hedged ETF,ICE
2510,NEXT FUNDS Japan Bond NOMURA-BPI Exchange Traded Fund,ICE
2511,NEXT FUNDS International Bond FTSE World Government Bond Index (ex Japan Unhedged) Exchange Traded Fund,ICE
2512,NEXT FUNDS International Bond FTSE World Government Bond Index (ex Japan Yen-Hedged) Exchange Traded Fund,ICE
2513,NEXT FUNDS International Equity MSCI-KOKUSAI (Unhedged) Exchange Traded Fund,ICE
2514,NEXT FUNDS International Equity MSCI-KOKUSAI (Yen-Hedged) Exchange Traded Fund,ICE
2515,NEXT FUNDS International REIT S&P Developed REIT Index (ex Japan Unhedged) Exchange Traded Fund,ICE
2516,TSE Mothers ETF,ICE
2517,MAXIS J-REIT Core ETF,ICE
2518,NEXT FUNDS MSCI Japan Empowering Women Select Index Exchange Traded Fund,ICE
2519,NEXT FUNDS Emerging Market Bond J.P. Morgan EMBI Plus (Unhedged) Exchange Traded Fund,ICE
2520,NEXT FUNDS Emerging Market Equity MSCI-EM (Unhedged) Exchange Traded Fund,ICE
2521,Listed Index Fund US Equity (S&P500) Currency Hedge,SPG
2522,iShares Automation & Robot ETF,ICE
2523,MAXIS TOPIX Ex-Financials ETF,ICE
2524,NZAM ETF TOPIX,ICE
2525,NZAM ETF Nikkei 225,ICE
2526,NZAM ETF JPX-Nikkei 400,ICE
2527,NZAM ETF J-REIT Core Index,ICE
2528,iFreeETF Tokyo Stock Exchange REIT Core Index,SPG
2529,NEXT FUNDS Nomura Shareholder Yield 70 Exchange Traded Fund,ICE
2552,Listed Index Fund J-REIT (Tokyo Stock Exchange REIT Index) Bi-Monthly Dividend Payment Type (Mini),SPG
2553,One ETF Southern China A-Share CSI 500,ICE
2554,NEXT FUNDS Bloomberg Barclays US Intermediate Corporate Index (JPY Hedged) Exchange Traded Fund,ICE
2555,TSE REIT ETF,ICE
2556,One ETF Tokyo Stock Exchange REIT Index,ICE
2557,SMDAM TOPIX ETF,ICE
2558,MAXIS S&P500 US Equity,ICE
2559,MAXIS World Equity (MSCI ACWI),ICE
2560,MAXIS Carbon Efficient Japan Equity ETF,ICE
2561,iShares Core Japan Government Bond ETF,ICE
2562,Listed Index Fund US Equity (Dow Average) Currency Hedge,SPG
2563,iShares S&P 500 JPY Hedged ETF,ICE
2564,Global X MSCI SuperDividend Japan ETF,SOLACTIVE
2565,Global X Logistics J-REIT ETF,SOLACTIVE
2566,Listed Index Fund Nikkei ESG-REIT,SPG
2567,NZAM ETF S&P JPX Carbon Efficient Index,ICE
2568,Listed Index Fund US Equity (NASDAQ100) No Currency Hedge,SPG
2569,Listed Index Fund US Equity (NASDAQ100) Currency Hedge,SPG
257A,SMT ETF Selected Japan Equity Active,ICE
258A,SMT ETF Selected J-REIT Active,ICE
2620,iShares 1-3 Year US Treasury Bond ETF,ICE
2621,iShares 20+ Year US Treasury Bond JPY Hedged ETF,ICE
2624,iFreeETF Nikkei225 (Quarterly Dividend Type),SPG
2625,iFreeETF TOPIX (Quarterly Dividend Type),SPG
2626,Global X Digital Innovation Japan ETF,SOLACTIVE
2627,Global X E-Commerce Japan ETF,SOLACTIVE
2628,iFreeETF STAR50 ETF,SPG
2629,iFreeETF GBA100 ETF,SPG
2630,MAXIS S&P500 US Equity (JPY Hedged),ICE
2631,MAXIS NASDAQ100,ICE
2632,MAXIS NASDAQ100 (JPY Hedged),ICE
2633,NEXT FUNDS S&P 500 (Unhedged) Exchange Traded Fund,ICE
2634,NEXT FUNDS S&P 500 (Yen-Hedged) Exchange Traded Fund,ICE
2636,Global X MSCI Governance-Quality Japan ETF,SOLACTIVE
2637,Global X CleanTech Japan ETF,SOLACTIVE
2638,Global X Japan Robotics & AI ETF,SOLACTIVE
2639,Global X Japan Bio & Med Tech ETF,SOLACTIVE
2640,Global X Japan Games & Animation ETF,SOLACTIVE
2641,Global X Japan Global Leaders ETF,SOLACTIVE
2642,SMT ETF Carbon Efficient Index Japan Equity,ICE
2643,NEXT FUNDS MSCI Japan Country Selection Index Exchange Traded Fund,ICE
2644,Global X Japan Semiconductor ETF,SOLACTIVE
2645,Global X Japan Leisure & Entertainment ETF,SOLACTIVE
2646,Global X Japan Metal Business ETF,SOLACTIVE
2647,NEXT FUNDS Bloomberg US Treasury Bond (7-10 year) Index (Unhedged) Exchange Traded Fund,ICE
2648,NEXT FUNDS Bloomberg US Treasury Bond (7-10 year) Index (Yen-Hedged) Exchange Traded Fund,ICE
2649,iShares Ginnie Mae MBS JPY Hedged ETF,ICE
273A,SBI Saudi Arabia Equity Exchange Traded Fund,ICE
282A,Global X Japan Semiconductor Top 10 ETF,SOLACTIVE
2836,Global X Japan Fintech ETF,SOLACTIVE
2837,Global X Japan Mid & Small Cap Leaders ETF,SOLACTIVE
2838,MAXIS 7-10 Year US Treasury Bond ETF (Unhedged),ICE
2839,MAXIS 7-10 Year US Treasury Bond ETF (Hedged),ICE
283A,Global X US Tech Dividend Aristocrats ETF,SOLACTIVE
2840,iFreeETF NASDAQ100 (NON HEDGED),SPG
2841,iFreeETF NASDAQ100 (JPY HEDGED),SPG
2842,iFreeETF NASDAQ100 Inverse,SPG
2843,Listed Index Fund Australian Government Bond (Currency Hedge),SPG
2844,Listed Index Fund Australian Government Bond (No Currency Hedge),SPG
2845,NEXT FUNDS NASDAQ-100(R) (Yen-Hedged) Exchange Traded Fund,ICE
2846,NEXT FUNDS DJIA (Yen-Hedged) Exchange Traded Fund,ICE
2847,Global X Japan New Growth Infrastructure ETF,SOLACTIVE
2848,Global X MSCI Japan Climate Change ETF,SOLACTIVE
2849,Global X Morningstar Japan High Dividend ESG ETF,SOLACTIVE
2851,iShares MSCI Japan SRI ETF,ICE
2852,iShares Japan Green REIT ETF,ICE
2853,iShares Climate Risk-Adjusted Global ex Japan Government Bond JPY Hedged ETF,ICE
2854,Global X Japan Tech Top 20 ETF,SOLACTIVE
2855,Global X Green J-REIT ETF,SOLACTIVE
2856,iShares 3-7 Year US Treasury Bond JPY Hedged ETF,ICE
2857,iShares Germany Government Bond JPY Hedged ETF,ICE
2858,Global X Nikkei 225 Covered Call ETF (option premium reinvestment type),ICE
2859,NEXT FUNDS EURO STOXX 50 (Yen-Hedged) Exchange Traded Fund,ICE
2860,NEXT FUNDS German Equity DAX (Yen-Hedged) Exchange Traded Fund,ICE
2861,Listed Index Fund France Government Bond (No Currency Hedge),SPG
2862,Listed Index Fund France Government Bond (Currency Hedge),SPG
2864,Global X Logistics REIT ETF,SOLACTIVE
2865,Global X Nasdaq 100 Covered Call ETF,SOLACTIVE
2866,Global X U.S. Preferred Security ETF,SOLACTIVE
2867,Global X Autonomous & EV ETF,SOLACTIVE
2868,Global X S&P 500 Covered Call ETF,SOLACTIVE
2869,iFreeETF NASDAQ100 Leveraged (2x),SPG
2870,iFreeETF NASDAQ100 Double Inverse (-2x),SPG
294A,NEXT FUNDS MSCI Global Climate 500 Japan Selection Index Exchange Traded Fund,ICE
295A,One ETF FTSE Saudi Arabia ETF,ICE
313A,iShares S&P 500 Top 20 ETF,ICE
314A,iShares Gold ETF,ICE
315A,Global X Japan Bank High Dividend ETF,SOLACTIVE
316A,iFreeETF FANG+ PCF,SPG
328A,Global X Japan Pricing Power Leaders ETF,SOLACTIVE
346A,NEXT FUNDS S&P 500 Semiconductors & Semiconductor Equipment (Industry Group) 35% Capped Index Exchange Traded Fund,ICE
348A,MAXIS Yomiuri333 Japan Stock ETF,ICE
349A,SMDAM Active ETF Japanese Gross Equities,ICE
354A,iFreeETF Bloomberg Japan High Dividend 50 Index,SPG
356A,Global X S&P 500 Cash Flow Top 100 ETF,SOLACTIVE
360A,TSE REIT Core ETF,ICE
363A,IFREEETF FTSE100 ETF,SPG
364A,NEXT FUNDS S&P 500 Dividend Aristocrats Index Exchange Traded Fund,ICE
376A,NEXT FUNDS Bloomberg US Treasury Bond (7-10 year) Index (75% Yen-Hedged) Exchange Traded Fund,ICE
379A,Global X S&P 500 ETF (Dynamic Protection),SOLACTIVE
380A,Global X China Tech ETF,ICE
381A,IFREEETF US TREASURY BOND 3-5 YEAR (NON HEDGED),SPG
382A,IFREEETF US TREASURY BOND 3-5 YEAR (JPY HEDGED),SPG
383A,MAXIS S&P500 Equal Weight ETF,ICE
392A,iShares Nasdaq Top 30 ETF,ICE
394A,Sector Restructuring Select ETF TV,ICE
395A,Sector Restructuring Select ETF Regional Banks,ICE
396A,Sector Restructuring Select ETF Event-Driven REITs,ICE
399A,Listed Index Fund Nikkei 225 High Dividend Yield Stock 50,SPG
404A,Global X China Tech Top 10 ETF,ICE
408A,iShares A.I. Global Innovation Active ETF,ICE
412A,NEXT FUNDS TIP FactSet Taiwan Innovative Technology 50 Index Exchange Traded Fund,ICE
413A,iFreeETF Cathay Taiwan Tech Leader Index,SPG
424A,Global X Gold ETF (JPY Hedged),SOLACTIVE
425A,Global X Gold ETF,SOLACTIVE
426A,NISSAY ETF S&P 500 EQUAL WEIGHT,SPG
435A,iFreeETF Japan Equity Dividend Rotation Strategy,SPG
443A,iFreeETF Tokyo Stock Exchange REIT Index (Feb/May/Aug/Nov Dividend Type),SPG
447A,State Street SPDR Gold ETF (JPY Unhedged),ICE
448A,State Street SPDR Gold ETF (JPY Hedged),ICE
449A,State Street SPDR S&P 500 ETF (JPY Unhedged),ICE
450A,State Street SPDR S&P 500 ETF (JPY Hedged),ICE
451A,State Street SPDR S&P 500 High Dividend ETF (JPY Unhedged),ICE
452A,iShares S&P 500 Premium Income ETF,ICE
453A,iShares 20+ Year US Treasury Bond Premium Income ETF,ICE
459A,Nomura High-Yield J-REIT Index ETF,ICE
461A,MAXIS Japan Equity High Dividend SMART 50 ETF,ICE
465A,Global X Japan Nikkei225 Shareholder Return 40 ETF,SOLACTIVE
466A,Global X Defense Tech ETF,SOLACTIVE
467A,Global X USD Investment Grade Corporate Bond ETF (JPY Hedged),SOLACTIVE
468A,Global X USD Investment Grade Corporate Bond ETF,SOLACTIVE
473A,NISSAY ETF NIKKEI 225 INDEX ETF,SPG
