STOCK_CODE,STOCK_NAME,ACTIVE_BUY,PASSIVE_BUY,TOTAL_BUY,ACTIVE_RATIO,ACTIVE_RATIO_PCT,ACTIVE_FLAG,PASSIVE_FLAG
7741,HOYA CORP,15.656501999999977,612.3839560000015,628.0404580000014,0.0249291296453387,2.492912964533877,1,1
3231,NOMURA RL EST INC,-16.938932999998087,700.0,683.0610670000019,0.0236267445110253,2.362674451102537,1,1
5706,MITSUI KINZOKU CO,-100.147013,4300.0,4199.852987,0.0227599243171014,2.275992431710145,1,1
9984,SOFTBANK GROUP CO,-1101.029092,47700.0,46598.970908,0.0225615957795548,2.256159577955484,1,1
1951,EXEO GROUP INC,-4.570191000000705,200.0,195.4298089999993,0.0223404542844694,2.2340454284469478,1,1
4502,TAKEDA PHARMACEUTI,607.0838249999994,27300.0,27907.083825,0.0217537535919878,2.175375359198784,1,1
4307,NOMURA RESEARCH IN,33.14139100000011,1500.0,1533.141391,0.0216166566205504,2.1616656620550474,1,1
8060,CANON MARKETING JP,-3.84203400000024,200.0,196.15796599999976,0.0188480948929318,1.8848094892931824,1,1
6902,DENSO CORP,24.575246000001467,1300.0,1324.5752460000017,0.0185533030865665,1.8553303086566544,1,1
6141,DMG MORI CO LTD,-4.892808000000173,300.0,295.1071919999998,0.0160476333702176,1.6047633370217675,1,1
3774,INTERNET INITIATIV,-1.6171449999999368,100.0,98.38285500000006,0.0159140959923636,1.591409599236367,1,1
2801,KIKKOMAN CORP,82.19549099999995,5900.0,5982.195491,0.0137400208875922,1.374002088759221,1,1
5929,SANWA HOLDINGS,-1.3394539999999324,100.0,98.66054600000008,0.0132174976983784,1.3217497698378493,1,1
8306,MITSUBISHI UFJ FIN,194.94010900000012,-14800.0,-14605.059891,0.0130003926379803,1.3000392637980367,1,1
5991,NHK SPRING CO LTD,-2.5979459999998653,200.0,197.4020540000001,0.012823160605981,1.2823160605981003,1,1
1911,SUMITOMO FORESTRY,7.547413999999662,600.0,607.5474139999997,0.01242275718089,1.2422757180890027,1,1
1944,KINDEN CORP,-2.446341999999902,200.0,197.5536580000001,0.0120839032003843,1.2083903200384345,1,1
7701,SHIMADZU CORP,-1.2087760000000571,-100.0,-101.20877600000006,0.0119433911541431,1.194339115414316,1,1
4202,DAICEL CORPORATION,-3.5773220000000947,300.0,296.4226779999999,0.0117838907611158,1.1783890761115856,1,1
8766,TOKIO MARINE HLDG,-792.709724,-66800.0,-67592.709724,0.011727739977238,1.1727739977238023,1,1
7867,TOMY COMPANY LTD,9.419652999999926,800.0,809.4196529999999,0.0116375392728448,1.163753927284482,1,1
7729,TOKYO SEIMITSU CO,-1.2178130000000351,104.7511429999995,103.53332999999948,0.0114921675740585,1.149216757405858,1,1
3088,MATSUKIYOCOCOKARA,65.46241799999984,-6000.0,-5934.537582,0.0107926508300063,1.079265083000632,1,1
8253,CREDIT SAISON CO,-3.2420509999999467,-300.0,-303.24205099999995,0.0106912975601789,1.0691297560178905,1,1
1942,KANDENKO CO LTD,-2.0746979999998985,200.0,197.9253020000001,0.0102669855282916,1.026698552829162,1,1
1925,DAIWA HOUSE INDS,12.328765000000772,-1200.0,-1187.6712349999991,0.0101694897918229,1.01694897918229,1,1
3291,IIDA GROUP HOLDING,-2.0255150000000413,200.0,197.974485,0.0100260355727841,1.0026035572784164,1,1
