STOCK_CODE,STOCK_NAME,ETF_A_SHARES,ETF_B_SHARES,COMMON_HOLDING
3962,CHANGE HLDGS INC,1158800.0,29000.0,True
3964,AUCNET INC,1291800.0,32300.0,True
3983,ORO CO LTD,209800.0,5300.0,True
3984,USER LOCAL INC,253800.0,6400.0,True
3993,PKSHA TECHNOLOGY I,644500.0,16100.0,True
3994,MONEY FORWARD INC,1498300.0,37500.0,True
4004,RESONAC HOLDINGS C,5570100.0,139500.0,True
4005,SUMITOMO CHEM CO,48309200.0,1209700.0,True
4008,SUMITOMO SEIKA,1159800.0,29000.0,True
4021,NISSAN CHEMICAL CO,3021600.0,75700.0,True
4022,RASA INDUSTRIES,979400.0,24500.0,True
4023,KUREHA CORPORATION,721600.0,18100.0,True
4025,TAKI CHEMICAL CO,254600.0,6400.0,True
4027,TAYCA CORP,411000.0,10300.0,True
4028,ISHIHARA SANGYO,995700.0,24900.0,True
4041,NIPPON SODA CO LTD,1239400.0,31000.0,True
4042,TOSOH CORP,8744000.0,219000.0,True
4043,TOKUYAMA CORP,2100600.0,52600.0,True
4044,CENTRAL GLASS CO,757600.0,19000.0,True
4045,TOAGOSEI CO LTD,2662900.0,66700.0,True
4046,OSAKA SODA CO LTD,2097200.0,52500.0,True
4047,KANTO DENKA KOGYO,1160900.0,29100.0,True
4051,GMO FINANCIAL GATE,112200.0,2800.0,True
4053,SUN INC,538700.0,13500.0,True
4061,DENKA COMPANY LTD,2382000.0,59600.0,True
4062,IBIDEN CO LTD,7627500.0,191000.0,True
4063,SHIN-ETSU CHEMICAL,53392400.0,1337000.0,True
4064,NIPPON CARBIDE IND,295700.0,7400.0,True
4071,PLUS ALPHA CONSULT,855400.0,21400.0,True
4072,DENSAN SYS HLD CO,290600.0,7300.0,True
4078,SAKAI CHEMICAL IND,510500.0,12800.0,True
4082,DAIICHI KIGENSO KA,601900.0,15100.0,True
4091,NIPPON SANSO HOLDI,6795400.0,170200.0,True
4092,NIPPON CHEM INDL,240000.0,6000.0,True
4095,NIHON PARKERIZING,2972300.0,74400.0,True
4097,KOATSU GAS KOGYO,872000.0,21800.0,True
4099,SHIKOKU KASEI HOLD,1206900.0,30200.0,True
409A,ORION BREWERIES LT,1342800.0,33600.0,True
4100,TODA KOGYO CORP,136700.0,3400.0,True
4109,STELLA CHEMIFA,319900.0,8000.0,True
4112,HODOGAYA CHEMICAL,377200.0,9400.0,True
4114,NIPPON SHOKUBAI CO,3698500.0,92600.0,True
4116,DAINICHISEIKA C&C,1624000.0,40700.0,True
4118,KANEKA CORP,1412400.0,35400.0,True
4151,KYOWA KIRIN CO LTD,7069300.0,177000.0,True
417A,BLUE ZONES HOLDING,3756200.0,94100.0,True
4180,APPIER GROUP INC,2533800.0,63400.0,True
4182,MITSUBISHI GAS CHM,4270500.0,106900.0,True
4183,MITSUI CHEMICALS,10804600.0,270600.0,True
4186,TOKYO OHKA KOGYO,2864600.0,71700.0,True
4187,OSAKA ORGANIC CHEM,502300.0,12600.0,True
4188,MITSUBISHI CHEM GP,42003600.0,1051800.0,True
4189,KH NEOCHEM CO LTD,1082600.0,27100.0,True
4194,VISIONAL INC,816800.0,20500.0,True
4202,DAICEL CORPORATION,6315600.0,158200.0,True
4203,SUMITOMO BAKELITE,1978100.0,49500.0,True
4204,SEKISUI CHEMICAL,11816300.0,295900.0,True
4205,ZEON CORPORATION,4221300.0,105700.0,True
4206,AICA KOGYO CO,1515000.0,37900.0,True
4208,UBE CORPORATION,3094600.0,77500.0,True
4212,SEKISUI JUSHI CORP,713100.0,17900.0,True
4216,ASAHI YUKIZAI CORP,399400.0,10000.0,True
4218,NICHIBAN CO LTD,371900.0,9300.0,True
4220,RIKEN TECHNOS CORP,1034400.0,25900.0,True
4221,OKURA INDUSTRIAL,306100.0,7700.0,True
4228,SEKISUI KASEI CO L,947900.0,23700.0,True
4229,GUN EI CHEM IND,141200.0,3500.0,True
4246,DAIKYONISHIKAWA CO,1273100.0,31900.0,True
4249,MORIROKU CO LTD,323000.0,8100.0,True
4251,KEIWA INCORPORATED,389000.0,9700.0,True
4272,NIPPON KAYAKU CO,3999700.0,100200.0,True
4275,CARLIT CO LTD,514200.0,12900.0,True
4286,CL HOLDINGS INC,181300.0,4500.0,True
4290,PRESTIGE INTERNATI,2280300.0,57100.0,True
4299,HIMACS LTD,166400.0,4200.0,True
429A,TEKSCEND PHOTOMASK,2227500.0,55800.0,True
4301,AMUSE INC,317200.0,7900.0,True
4307,NOMURA RESEARCH IN,11321300.0,283500.0,True
4310,DREAM INCUBATOR IN,192300.0,4800.0,True
4318,QUICK CO LTD,1521100.0,38100.0,True
4323,JAPAN SYSTEM TECHN,556700.0,13900.0,True
4324,DENTSU GROUP INC,7149500.0,179000.0,True
4326,INTAGE HOLDINGS IN,453100.0,11300.0,True
4331,TAKE & GIVE NEEDS,295000.0,7400.0,True
4337,PIA CORPORATION,280900.0,7000.0,True
4343,AEON FANTASY CO,266300.0,6700.0,True
