ETF_CODE,ETF_NAME_JP,ETF_TYPE,LIST_DATE,LOT_SIZE,SECTOR,ASSET_CLASS,TOP_BUY_STOCK,NET_FLOW
461A,ＭＡＸＩＳ日本株高配当ＳＭＡＲＴ５０上場投信,PASSIVE,2025/11/13,1.0,Dividend,JP Equity,ソニーフィナンシャルグループ,0.6455800000126127
465A,グローバルＸ 日経平均株主還元40-日本株式 ETF,PASSIVE,2025/11/26,1.0,Market,JP Equity,,0.0
466A,グローバルＸ 防衛テック ETF,PASSIVE,2025/11/26,1.0,Other,JP Equity,,0.0
467A,グローバルＸ 米ドル建て投資適格社債 ETF（為替ヘッジあり）,BOND,2025/11/26,10.0,Bond,Bond,,0.0
468A,グローバルＸ 米ドル建て投資適格社債 ETF,BOND,2025/11/26,10.0,Bond,Bond,,0.0
473A,ニッセイＥＴＦ　日経２２５インデックス,PASSIVE,2025/12/5,1.0,Market,JP Equity,,0.0
486A,ＮＥＸＴ ＦＵＮＤＳ ユーロ・ストックス50指数（為替ヘッジなし）連動型上場投信,PASSIVE,2025/12/17,1.0,Other,JP Equity,,0.0
487A,ＮＥＸＴ ＦＵＮＤＳ ドイツ株式・ＤＡＸ（為替ヘッジなし）連動型上場投信,PASSIVE,2025/12/17,1.0,Other,JP Equity,,0.0
488A,iシェアーズ　円高フォーカス ETF,PASSIVE,2025/12/17,10.0,Bond,Bond,,0.0
489A,東証ＲＥＩＴ物流フォーカスＥＴＦ,REIT,2025/12/18,1.0,Other,JP Equity,,0.0
491A,iシェアーズ　S&P 500 除く金融 ETF（為替ヘッジあり）,PASSIVE,2026/1/28,10.0,Other,JP Equity,,0.0
492A,Ｏｎｅ　ＥＴＦ　日本国債　高クーポン（平均残存１０年未満）,BOND,2026/1/20,10.0,Bond,Bond,,0.0
493A,Ｏｎｅ　ＥＴＦ　日本国債　１－３年,BOND,2026/1/20,10.0,Bond,Bond,,0.0
494A,Ｏｎｅ　ＥＴＦ　日本国債　３－７年,BOND,2026/1/20,10.0,Bond,Bond,,0.0
495A,Ｏｎｅ　ＥＴＦ　日本国債　７－１０年,BOND,2026/1/20,10.0,Bond,Bond,,0.0
496A,Ｏｎｅ　ＥＴＦ　日本国債　１７－２０年,BOND,2026/1/20,10.0,Bond,Bond,,0.0
502A,グローバルＸ 超短期円建て債券 ETF,BOND,2026/1/29,10.0,Bond,Bond,,0.0
512A,グローバルＸ ステーブルコイン＆トークンビジネス ETF（除く日本）,PASSIVE,2026/2/26,1.0,Other,JP Equity,,0.0
513A,グローバルＸ 防衛テック-日本株式 ETF,PASSIVE,2026/2/26,1.0,Other,JP Equity,,0.0
515A,iシェアーズ　高格付け日本円社債 ETF,ACTIVE,2026/3/13,10.0,Bond,Bond,,0.0
516A,iFreeETF 米ドル・ブル（1倍）,LEVERAGED_INVERSE,2026/3/3,1.0,Bond,Bond,,0.0
517A,iFreeETF 米ドル・ベア（1倍）,LEVERAGED_INVERSE,2026/3/3,1.0,Bond,Bond,,0.0
518A,ＮＥＸＴ ＦＵＮＤＳ ＦＴＳＥ日本株高配当キャッシュフロー50指数連動型上場投信,REIT,2026/3/3,1.0,Dividend,JP Equity,,0.0
521A,iFreeETF FANG+ゴールド,PASSIVE,2026/3/11,1.0,Other,JP Equity,,0.0
526A,ＪＰＸスタートアップ急成長１００ＥＴＦ,PASSIVE,2026/3/11,1.0,Other,JP Equity,,0.0
530A,NZAM 上場投信 東証REIT指数（2・5・8・11月決算型）,REIT,2026/3/19,1.0,Other,JP Equity,,0.0
531A,NZAM 上場投信 日経平均高配当株50,PASSIVE,2026/3/19,1.0,Market,JP Equity,,0.0
532A,NZAM 上場投信 TOPIX高配当40,PASSIVE,2026/3/19,1.0,Market,JP Equity,,0.0
533A,NZAM 上場投信 S&P500（為替ヘッジなし）,PASSIVE,2026/3/19,1.0,Other,JP Equity,,0.0
534A,NZAM 上場投信 NASDAQ100（為替ヘッジなし）,PASSIVE,2026/3/19,1.0,Other,JP Equity,,0.0
535A,NZAM 上場投信 DAX（為替ヘッジなし）,PASSIVE,2026/3/19,1.0,Other,JP Equity,,0.0
536A,NZAM 上場投信 先進国株式（MSCI-KOKUSAI）（為替ヘッジなし）,PASSIVE,2026/3/19,1.0,Other,JP Equity,,0.0
537A,NZAM 上場投信 全世界株式（MSCI ACWI）（為替ヘッジなし）,PASSIVE,2026/3/19,1.0,Other,JP Equity,,0.0
538A,NZAM 上場投信 米国国債7-10年（為替ヘッジなし）,BOND,2026/3/19,1.0,Bond,Bond,,0.0
539A,NZAM 上場投信 海外債券（FTSE WGBI除く日本）（為替ヘッジなし）,PASSIVE,2026/3/19,1.0,Bond,Bond,,0.0
540A,上場インデックスファンド日経銀行株トップ10,PASSIVE,2026/3/18,1.0,Market,JP Equity,,0.0
541A,Ｏｎｅ　ＥＴＦ　ＴＯＰＩＸ高配当株グロース指数,PASSIVE,2026/3/24,10.0,Market,JP Equity,,0.0
552A,ＭＡＸＩＳ米国ＡＩインフラ株上場投信,PASSIVE,2026/3/31,1.0,Other,JP Equity,,0.0
563A,グローバルＸ NASDAQ100・デイリー・カバード・コール ETF,PASSIVE,2026/4/23,1.0,Other,JP Equity,,0.0
564A,グローバルＸ S&P先進国キャッシュフロー・トップ100 ETF,PASSIVE,2026/4/23,1.0,Other,JP Equity,,0.0
566A,iFreeETF ブルームバーグ日本株（除く金融）高配当50指数,PASSIVE,2026/5/7,1.0,Dividend,JP Equity,,0.0
568A,iシェアーズ　シルバー ETF,PASSIVE,2026/5/20,10.0,Other,JP Equity,,0.0
569A,iシェアーズ　プラチナ ETF,PASSIVE,2026/5/20,10.0,Other,JP Equity,,0.0
570A,iシェアーズ　日本国債0-1年 ETF,BOND,2026/5/27,10.0,Bond,Bond,,0.0
571A,iシェアーズ　日本国債1-3年 ETF,BOND,2026/5/27,10.0,Bond,Bond,,0.0
572A,iシェアーズ　日本国債3-7年 ETF,BOND,2026/5/27,10.0,Bond,Bond,,0.0
573A,iシェアーズ　日本国債20年超 ETF,BOND,2026/5/27,10.0,Bond,Bond,,0.0
576A,グローバルＸ チャイナテック・カバード・コール ETF,PASSIVE,2026/5/28,1.0,Other,JP Equity,,0.0
577A,グローバルＸ シルバー ETF,PASSIVE,2026/5/28,10.0,Other,JP Equity,,0.0
578A,グローバルＸ シルバー ETF（為替ヘッジあり）,PASSIVE,2026/5/28,10.0,Other,JP Equity,,0.0
579A,グローバルＸ 銀ビジネス ETF,PASSIVE,2026/5/28,1.0,Other,JP Equity,,0.0
580A,グローバルＸ 銅ビジネス ETF,PASSIVE,2026/5/28,1.0,Other,JP Equity,,0.0
585A,日本バリュー・ボトムアップ株式投資戦略アクティブＥＴＦ,ACTIVE,2026/6/9,1.0,Active,JP Equity,,0.0
586A,ＮＥＸＴ ＦＵＮＤＳ 日経エンタメ・コンテンツ株指数連動型上場投信,PASSIVE,2026/6/9,10.0,Market,JP Equity,サンリオ,40700.0
600A,ニッセイＥＴＦ　ラッセル２０００,PASSIVE,2026/7/9,1.0,Other,JP Equity,,0.0
605A,ＮＥＸＴ ＦＵＮＤＳ 日本株政策フォーカス上場投信,PASSIVE,2026/7/14,10.0,Active,JP Equity,,0.0
606A,金２倍ブルＥＴＦ ,LEVERAGED_INVERSE,2026/7/15,1.0,Market,JP Equity,,0.0
608A,上場インデックスファンド東証ＲＥＩＴ高利回り30,REIT,2026/7/21,1.0,Other,JP Equity,,0.0
609A,グローバルＸ 総合商社＆資源ビジネス-日本株式 ETF,PASSIVE,2026/7/30,1.0,Other,JP Equity,,0.0
610A,グローバルＸ 宇宙テック・トップ10 ETF（除く日本）,PASSIVE,2026/7/30,1.0,Other,JP Equity,,0.0
611A,Ｏｎｅ　ＥＴＦ　日本国債　２７－３０年,BOND,2026/7/31,10.0,Bond,Bond,,0.0
612A, Ｏｎｅ　ＥＴＦ　日本国債先物逆連動指数,BOND,2026/7/31,10.0,Leveraged,Leveraged/Inverse,,0.0
613A,iFreeETF ドイツ0-3カ月短期国債,PASSIVE,2026/8/3,1.0,Bond,Bond,,0.0
626A,iFreeETF ゴールドプラスインカム,PASSIVE,2026/9/4,1.0,Other,JP Equity,,0.0
