ETF_CODE,ETF_NAME_JP,ETF_TYPE,PROVIDER,LIST_DATE,LOT_SIZE,SECTOR,ASSET_CLASS,TOP_BUY_STOCK,NET_FLOW
1499,MAXIS Japan Equity High Dividend 70 Market Neutral ETF,PASSIVE,MAXIS,,1.0,Dividend,JP Equity,,0.0
1545,NEXT FUNDS NASDAQ-100,PASSIVE,NEXT FUNDS,,10.0,Other,JP Equity,,0.0
1546,NEXT FUNDS Dow Jones Industrial Average Exchange Traded Fund,PASSIVE,NEXT FUNDS,,1.0,Other,JP Equity,,0.0
1547,Listed Index Fund US Equity (S&P500),PASSIVE,Other,,1.0,Other,JP Equity,,0.0
1550,MAXIS Global Equity (MSCI Kokusai),PASSIVE,MAXIS,,1.0,Other,JP Equity,,0.0
1551,TSE STANDARD TOP 20 ETF,PASSIVE,Other,,10.0,Other,JP Equity,,0.0
1554,Listed Index Fund World Equity (MSCI ACWI) ex Japan,PASSIVE,Other,,1.0,Other,JP Equity,,0.0
1555,Listed Index Fund Australian REIT (S&P/ASX200 A-REIT),REIT,Other,,1.0,Other,JP Equity,,0.0
1559,NEXT FUNDS Thai Stock SET50 Exchange Traded Fund,PASSIVE,NEXT FUNDS,,1.0,Other,JP Equity,,0.0
1560,NEXT FUNDS FTSE Bursa Malaysia KLCI Exchange Traded Fund,PASSIVE,NEXT FUNDS,,1.0,Other,JP Equity,,0.0
1563,TSE Growth Core ETF,PASSIVE,Other,,1.0,Other,JP Equity,,-303200.0
1566,Listed Index Fund Emerging Bond,BOND,Other,,1.0,Bond,Bond,,0.0
1568,TOPIX Bull 2x ETF,LEVERAGED_INVERSE,Other,,10.0,Market,JP Equity,,0.0
1569,TOPIX Bear -1x ETF,LEVERAGED_INVERSE,Other,,10.0,Leveraged,Leveraged/Inverse,,0.0
1570,NEXT FUNDS Nikkei 225 Leveraged Index Exchange Traded Fund,LEVERAGED_INVERSE,NEXT FUNDS,,1.0,Market,JP Equity,,0.0
1571,NEXT FUNDS Nikkei 225 Inverse Index Exchange Traded Fund,LEVERAGED_INVERSE,NEXT FUNDS,,1.0,Leveraged,Leveraged/Inverse,,0.0
1572,China Bull 2x HSCEI ETF,LEVERAGED_INVERSE,Other,,10.0,Other,JP Equity,,0.0
1573,China Bear -1x HSCEI ETF,LEVERAGED_INVERSE,Other,,10.0,Other,JP Equity,,0.0
1577,NEXT FUNDS Nomura Japan Equity High Dividend 70 Exchange Traded Fund,PASSIVE,NEXT FUNDS,,1.0,Dividend,JP Equity,,-389200.0
1578,Listed Index Fund Nikkei 225 (Mini),PASSIVE,Other,,1.0,Market,JP Equity,,0.0
1579,Nikkei 225 Bull 2x ETF,LEVERAGED_INVERSE,Other,,10.0,Market,JP Equity,,0.0
1580,Nikkei 225 Bear -1x ETF,LEVERAGED_INVERSE,Other,,10.0,Leveraged,Leveraged/Inverse,,0.0
1585,iFreeETF TOPIX Ex-Financials,PASSIVE,iFree,,10.0,Market,JP Equity,,0.0
1586,Listed Index Fund TOPIX Ex-Financials,PASSIVE,Other,,1.0,Market,JP Equity,,0.0
1591,NEXT FUNDS JPX-Nikkei Index 400 Exchange Traded Fund,PASSIVE,NEXT FUNDS,,1.0,Market,JP Equity,,-2740300.0
1592,Listed Index Fund JPX-Nikkei Index 400,PASSIVE,Other,,1.0,Market,JP Equity,,0.0
1593,MAXIS JPX-Nikkei Index 400 ETF,PASSIVE,MAXIS,,1.0,Market,JP Equity,,0.0
1595,NZAM ETF J-REIT Index,REIT,Other,,1.0,Other,JP Equity,,0.0
1596,NZAM ETF TOPIX Ex-Financials,PASSIVE,Other,,1.0,Other,JP Equity,,0.0
1597,MAXIS J-REIT ETF,REIT,MAXIS,,1.0,Other,JP Equity,,0.0
1599,iFreeETF JPX-Nikkei400,PASSIVE,iFree,,1.0,Market,JP Equity,,0.0
159A,NEXT FUNDS JPX Prime 150 Index Exchange Traded Fund,PASSIVE,NEXT FUNDS,,10.0,Other,JP Equity,,0.0
1615,TOPIX Banks,PASSIVE,Other,,10.0,Bank,JP Equity,,-216800.0
1617,NEXT FUNDS TOPIX-17 FOODS ETF,PASSIVE,NEXT FUNDS,,1.0,Market,JP Equity,,0.0
1618,NEXT FUNDS TOPIX-17 ENERGY RESOURCES ETF,PASSIVE,NEXT FUNDS,,1.0,Market,JP Equity,,-339600.0
1619,NEXT FUNDS TOPIX-17 CONSTRUCTION & MATERIALS ETF,PASSIVE,NEXT FUNDS,,1.0,Market,JP Equity,,0.0
1620,NEXT FUNDS TOPIX-17 RAW MATERIALS & CHEMICALS ETF,PASSIVE,NEXT FUNDS,,1.0,Market,JP Equity,,0.0
1621,NEXT FUNDS TOPIX-17 PHARMACEUTICAL ETF,PASSIVE,NEXT FUNDS,,1.0,Market,JP Equity,,0.0
1622,NEXT FUNDS TOPIX-17 AUTOMOBILES & TRANSPORTATION EQUIPMENT ETF,PASSIVE,NEXT FUNDS,,1.0,Market,JP Equity,,0.0
1623,ＮＥＸＴ ＦＵＮＤＳ ＴＯＰＩＸ－１７ 鉄鋼・非鉄 ETF,PASSIVE,野村アセットマネジメント,2008/03/21,1.0,Market,JP Equity,日本製鉄,1124900.0
1624,NEXT FUNDS TOPIX-17 MACHINERY ETF,PASSIVE,NEXT FUNDS,,1.0,Market,JP Equity,,0.0
1625,NEXT FUNDS TOPIX-17 ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ETF,PASSIVE,NEXT FUNDS,,1.0,Market,JP Equity,,-68200.0
1626,NEXT FUNDS TOPIX-17 IT & SERVICES OTHERS ETF,PASSIVE,NEXT FUNDS,,1.0,Market,JP Equity,,0.0
1627,ＮＥＸＴ ＦＵＮＤＳ ＴＯＰＩＸ－１７ 電力・ガス ETF,PASSIVE,野村アセットマネジメント,2008/03/21,1.0,Market,JP Equity,東京電力ホールディングス,326800.0
1628,ＮＥＸＴ ＦＵＮＤＳ ＴＯＰＩＸ－１７ 運輸・物流 ETF,PASSIVE,野村アセットマネジメント,2008/03/21,1.0,Market,JP Equity,東日本旅客鉄道,210700.0
1629,NEXT FUNDS TOPIX-17 COMMERCIAL & WHOLESALE TRADE ETF,PASSIVE,NEXT FUNDS,,10.0,Market,JP Equity,伊藤忠商事,1200.0
1630,NEXT FUNDS TOPIX-17 RETAIL TRADE ETF,PASSIVE,NEXT FUNDS,,1.0,Market,JP Equity,,-304200.0
1631,NEXT FUNDS TOPIX-17 BANKS ETF,PASSIVE,NEXT FUNDS,,1.0,Market,JP Equity,,-124900.0
1632,NEXT FUNDS TOPIX-17 FINANCIALS (EX BANKS) ETF,PASSIVE,NEXT FUNDS,,1.0,Market,JP Equity,,-822000.0
1633,NEXT FUNDS TOPIX-17 REAL ESTATE ETF,PASSIVE,NEXT FUNDS,,1.0,Market,JP Equity,,0.0
1651,iFreeETF TOPIX High Dividend Yield 40 Index,PASSIVE,iFree,,1.0,Market,JP Equity,,0.0
1652,iFreeETF MSCI Japan Empowering Women Index (WIN),PASSIVE,iFree,,10.0,Other,JP Equity,,0.0
1653,iFreeETF MSCI Japan ESG Select Leaders Index,PASSIVE,iFree,,10.0,Other,JP Equity,,0.0
1654,iFreeETF FTSE JPX Blossom Japan Index,PASSIVE,iFree,,10.0,Other,JP Equity,,0.0
1655,iShares S&P 500 ETF,PASSIVE,iShares,,10.0,Other,JP Equity,,0.0
1656,iShares Core 7-10 Year US Treasury Bond ETF,BOND,iShares,,10.0,Bond,Bond,,0.0
1657,iShares Core MSCI Kokusai ETF,PASSIVE,iShares,,1.0,Other,JP Equity,,0.0
1658,iShares Core MSCI Emerging Markets IMI ETF,PASSIVE,iShares,,1.0,Other,JP Equity,,0.0
1659,iShares US REIT ETF,REIT,iShares,,1.0,Other,JP Equity,,0.0
1660,MAXIS High Yield J-REIT ETF,REIT,MAXIS,,1.0,Other,JP Equity,,0.0
1677,Listed Index Fund International Bond (Citi WGBI) Monthly Dividend Payment Type,BOND,Other,,10.0,Bond,Bond,,0.0
1678,NEXT FUNDS Nifty Linked Exchange Traded Fund,PASSIVE,NEXT FUNDS,,10.0,Other,JP Equity,,0.0
1680,Listed Index Fund International Developed Countries Equity (MSCI-KOKUSAI),PASSIVE,Other,,1.0,Other,JP Equity,,0.0
1681,Listed Index Fund International Emerging Countries Equity (MSCI EMERGING),PASSIVE,Other,,1.0,Other,JP Equity,,0.0
1698,Listed Index Fund Japan High Dividend (TSE Dividend Focus 100),PASSIVE,Other,,1.0,Other,JP Equity,,0.0
1699,NEXT FUNDS NOMURA Crude Oil Long Index Linked Exchange Traded Fund,PASSIVE,NEXT FUNDS,,10.0,Other,JP Equity,,0.0
170A,SMT ETF Japan Equity Income Strategy Active,ACTIVE,Other,,1.0,Active,JP Equity,,-534.6940439999987
178A,Global X Innovative Bluechip Top 10+ ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
179A,Global X 25+ Year T-Bond ETF (JPY Hedged),BOND,Global X,,10.0,Bond,Bond,,0.0
180A,Global X 25+ Year T-Bond ETF,BOND,Global X,,10.0,Bond,Bond,,0.0
181A,MAXIS US Treasury Bond 1-3 Year ETF (Unhedged),BOND,MAXIS,,10.0,Bond,Bond,,0.0
182A,MAXIS US Treasury Bond 20+ Year ETF (Unhedged),BOND,MAXIS,,10.0,Bond,Bond,,0.0
183A,MAXIS US Treasury Bond 20+ Year ETF (JPY Hedged),BOND,MAXIS,,10.0,Bond,Bond,,0.0
188A,Global X India Top 10+ ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
200A,NEXT FUNDS Nikkei Semiconductor Stock Index Exchange Traded Fund,PASSIVE,NEXT FUNDS,,1.0,Market,JP Equity,ルネサスエレクトロニクス,18200.0
2011,SMDAM Active ETF Japan High Dividend Equity,ACTIVE,Other,,10.0,Active,JP Equity,,0.0
2012,iShares 0-3 Month US Treasury Bond ETF,BOND,iShares,,10.0,Bond,Bond,,0.0
2013,iShares US High Dividend ETF,PASSIVE,iShares,,10.0,Other,JP Equity,,0.0
2014,iShares US Dividend Growth ETF,PASSIVE,iShares,,10.0,Other,JP Equity,,0.0
2015,iFreeETF US Treasury 7-10 year (NON-HEDGE),BOND,iFree,,1.0,Bond,Bond,,0.0
2016,iFreeETF US Treasury 7-10 year (JP HEDGE),BOND,iFree,,1.0,Bond,Bond,,0.0
2017,iFreeETF JPX Prime 150,PASSIVE,iFree,,1.0,Other,JP Equity,,0.0
2018,Global X US REIT Top 20 ETF,REIT,Global X,,1.0,Other,JP Equity,,0.0
2019,Global X U.S. Preferred Security ETF (Bi-monthly dividend type),PASSIVE,Global X,,1.0,Bond,Bond,,0.0
2080,PBR Improvement over 1x ETF,PASSIVE,Other,,1.0,Active,JP Equity,,0.0
2081,Strategic Shareholding Disposal Promotion ETF,PASSIVE,Other,,1.0,Active,JP Equity,,0.0
2082,Investor-Management Unite as One ETF,PASSIVE,One ETF,,1.0,Active,JP Equity,,0.0
2083,ＮＥＸＴ ＦＵＮＤＳ 日本成長株アクティブ ETF,ACTIVE,野村アセットマネジメント,2023/09/07,1.0,Active,JP Equity,いすゞ自動車,-2100.0
2084,ＮＥＸＴ ＦＵＮＤＳ 日本高配当株アクティブ ETF,ACTIVE,野村アセットマネジメント,2023/09/07,1.0,Active,JP Equity,,0.0
2085,MAXIS High Dividend Japan Equity Actively Managed ETF,ACTIVE,MAXIS,,10.0,Active,JP Equity,,0.0
2086,NZAM S&P 500 in TTM Rates JPY Hedged Index,PASSIVE,Other,,1.0,Other,JP Equity,,0.0
2087,NZAM NASDAQ-100 Notional Net Total Return Index,PASSIVE,Other,,1.0,Other,JP Equity,,0.0
2088,NZAM Dow Jones Industrial Average JPY Hedged (TTM) (Japan Calendar),PASSIVE,Other,,1.0,Other,JP Equity,,0.0
2089,NZAM DAX Index,PASSIVE,Other,,1.0,Other,JP Equity,,0.0
2090,NZAM Bloomberg US Treasury 7-10 year Index,BOND,Other,,1.0,Bond,Bond,,0.0
2091,NZAM Bloomberg German Treasury 7-10 year Index,BOND,Other,,1.0,Bond,Bond,,0.0
2092,NZAM Bloomberg France Treasury 7-10 year Index,BOND,Other,,1.0,Bond,Bond,,0.0
2093,Listed Tracers US Government Bond 0-2years Ladder (No Currency Hedge),BOND,Other,,1.0,Bond,Bond,,0.0
2094,TSE REIT Inverse ETF,REIT,Other,,1.0,Leveraged,Leveraged/Inverse,,0.0
2095,Global X S&P 500 Dividend Aristocrats ETF (JPY Hedged),PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
2096,Global X Office J-REIT ETF,REIT,Global X,,1.0,Other,JP Equity,,0.0
2097,Global X Residential J-REIT ETF,REIT,Global X,,1.0,Other,JP Equity,,0.0
2098,Global X Hotel & Retail J-REIT ETF,REIT,Global X,,1.0,Other,JP Equity,,0.0
210A,iFreeETF Nikkei High Yield REIT Index,REIT,iFree,,1.0,Market,JP Equity,,0.0
213A,Listed Index Fund Nikkei Semiconductor Stock,PASSIVE,Other,,10.0,Market,JP Equity,,0.0
221A,MAXIS Nikkei Semiconductor Stock (Japan) ETF,PASSIVE,MAXIS,,10.0,Market,JP Equity,ルネサスエレクトロニクス,949.8050410000278
2235,Listed Index Fund US Equity (Dow Average) No Currency Hedge,PASSIVE,Other,,1.0,Other,JP Equity,,0.0
2236,Global X S&P 500 Dividend Aristocrats ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
2237,iFreeETF S&P500 Leveraged (2x),LEVERAGED_INVERSE,iFree,,1.0,Other,JP Equity,,0.0
2238,iFreeETF S&P500 Inverse,LEVERAGED_INVERSE,iFree,,1.0,Leveraged,Leveraged/Inverse,,0.0
2239,Listed Index Fund S&P500 Futures Leveraged Two Times,LEVERAGED_INVERSE,Other,,1.0,Other,JP Equity,,0.0
223A,Global X Artificial Intelligence & Technology ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
2240,Listed Index Fund S&P500 Futures Inverse,LEVERAGED_INVERSE,Other,,1.0,Leveraged,Leveraged/Inverse,,0.0
2241,MAXIS NY Dow Industrial Average ETF,PASSIVE,MAXIS,,10.0,Other,JP Equity,,0.0
2242,MAXIS NY Dow Industrial Average ETF (JPY Hedged),PASSIVE,MAXIS,,10.0,Other,JP Equity,,0.0
2243,Global X Semiconductor ETF,PASSIVE,Global X,,1.0,Semiconductor,JP Equity,,0.0
2244,Global X US Tech Top 20 ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
2245,NEXT FUNDS Bloomberg Germany Treasury Bond (7-10 year) Index (Yen-Hedged) Exchange Traded Fund,BOND,NEXT FUNDS,,10.0,Bond,Bond,,0.0
2247,iFreeETF S&P500 (NON HEDGED),PASSIVE,iFree,,1.0,Other,JP Equity,,0.0
2248,iFreeETF S&P500 (JPY HEDGED),PASSIVE,iFree,,1.0,Other,JP Equity,,0.0
2249,iFreeETF S&P500 Double Inverse (-2x),LEVERAGED_INVERSE,iFree,,1.0,Leveraged,Leveraged/Inverse,,0.0
224A,Global X Uranium ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
2250,iShares MSCI Japan Climate Action ETF,PASSIVE,iShares,,10.0,Other,JP Equity,,0.0
2251,NEXT FUNDS JPX JGB Futures Double Inverse Index Exchange Traded Fund,BOND,NEXT FUNDS,,10.0,Leveraged,Leveraged/Inverse,,0.0
2252,Global X Morningstar US Small Mid Moat ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
2253,Global X SuperDividend U.S. ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
2254,Global X China Electric Vehicle and Battery ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
2255,iShares 20+ Year US Treasury Bond ETF,BOND,iShares,,10.0,Bond,Bond,,0.0
2256,iShares US Aggregate Bond ETF,BOND,iShares,,10.0,Bond,Bond,,0.0
2257,iShares USD Investment Grade Corporate Bond ETF,BOND,iShares,,10.0,Bond,Bond,,0.0
2258,iShares USD High Yield Corporate Bond ETF,BOND,iShares,,10.0,Bond,Bond,,0.0
2259,iShares 7-10 Year France Government Bond JPY Hedged ETF,BOND,iShares,,10.0,Bond,Bond,,0.0
233A,iFreeETF Nifty50,PASSIVE,iFree,,1.0,Other,JP Equity,,0.0
234A,Global X MSCI Japan Cash Flow Kings ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
235A,Global X Japan High Dividend 30 ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
236A,iShares 7-10 Year Japan Government Bond ETF,BOND,iShares,,10.0,Bond,Bond,,0.0
237A,iShares 25+ Year US Treasury Bond Long Duration ETF,BOND,iShares,,10.0,Bond,Bond,,0.0
238A,iShares 25+ Year US Treasury Bond Long Duration JPY Hedged ETF,BOND,iShares,,10.0,Bond,Bond,,0.0
2510,NEXT FUNDS Japan Bond NOMURA-BPI Exchange Traded Fund,BOND,NEXT FUNDS,,10.0,Bond,Bond,,0.0
2511,NEXT FUNDS International Bond FTSE World Government Bond Index (ex Japan Unhedged) Exchange Traded Fund,BOND,NEXT FUNDS,,10.0,Bond,Bond,,0.0
2512,NEXT FUNDS International Bond FTSE World Government Bond Index (ex Japan Yen-Hedged) Exchange Traded Fund,BOND,NEXT FUNDS,,10.0,Bond,Bond,,0.0
2513,NEXT FUNDS International Equity MSCI-KOKUSAI (Unhedged) Exchange Traded Fund,PASSIVE,NEXT FUNDS,,1.0,Other,JP Equity,,0.0
2514,NEXT FUNDS International Equity MSCI-KOKUSAI (Yen-Hedged) Exchange Traded Fund,PASSIVE,NEXT FUNDS,,1.0,Other,JP Equity,,0.0
2515,NEXT FUNDS International REIT S&P Developed REIT Index (ex Japan Unhedged) Exchange Traded Fund,REIT,NEXT FUNDS,,1.0,Other,JP Equity,,0.0
2516,TSE Mothers ETF,PASSIVE,Other,,10.0,Other,JP Equity,アンジェス,4800.0
2517,MAXIS J-REIT Core ETF,REIT,MAXIS,,10.0,Other,JP Equity,,0.0
2518,NEXT FUNDS MSCI Japan Empowering Women Select Index Exchange Traded Fund,PASSIVE,NEXT FUNDS,,1.0,Other,JP Equity,,0.0
2519,NEXT FUNDS Emerging Market Bond J.P. Morgan EMBI Plus (Unhedged) Exchange Traded Fund,BOND,NEXT FUNDS,,10.0,Bond,Bond,,0.0
2520,NEXT FUNDS Emerging Market Equity MSCI-EM (Unhedged) Exchange Traded Fund,PASSIVE,NEXT FUNDS,,1.0,Other,JP Equity,,0.0
2521,Listed Index Fund US Equity (S&P500) Currency Hedge,PASSIVE,Other,,1.0,Other,JP Equity,,0.0
2522,iShares Automation & Robot ETF,PASSIVE,iShares,,1.0,Other,JP Equity,,0.0
2523,MAXIS TOPIX Ex-Financials ETF,PASSIVE,MAXIS,,10.0,Market,JP Equity,,0.0
2524,NZAM ETF TOPIX,PASSIVE,Other,,1.0,Market,JP Equity,,0.0
2525,NZAM ETF Nikkei 225,PASSIVE,Other,,1.0,Market,JP Equity,,0.0
2526,NZAM ETF JPX-Nikkei 400,PASSIVE,Other,,1.0,Market,JP Equity,,0.0
2527,NZAM ETF J-REIT Core Index,REIT,Other,,1.0,Other,JP Equity,,0.0
2528,iFreeETF Tokyo Stock Exchange REIT Core Index,REIT,iFree,,1.0,Other,JP Equity,,0.0
2529,NEXT FUNDS Nomura Shareholder Yield 70 Exchange Traded Fund,PASSIVE,NEXT FUNDS,,1.0,Other,JP Equity,,0.0
2552,Listed Index Fund J-REIT (Tokyo Stock Exchange REIT Index) Bi-Monthly Dividend Payment Type (Mini),REIT,Other,,1.0,Other,JP Equity,,0.0
2553,One ETF Southern China A-Share CSI 500,PASSIVE,One ETF,,10.0,Other,JP Equity,,0.0
2554,NEXT FUNDS Bloomberg Barclays US Intermediate Corporate Index (JPY Hedged) Exchange Traded Fund,PASSIVE,NEXT FUNDS,,10.0,Bond,Bond,,0.0
2555,TSE REIT ETF,REIT,Other,,10.0,Other,JP Equity,,0.0
2556,One ETF Tokyo Stock Exchange REIT Index,REIT,One ETF,,10.0,Other,JP Equity,,0.0
2557,SMDAM TOPIX ETF,PASSIVE,Other,,10.0,Market,JP Equity,ユー・エム・シー・エレクトロニクス,1000.0
2558,MAXIS S&P500 US Equity,PASSIVE,MAXIS,,1.0,Other,JP Equity,,0.0
